User,Brand,Variety,Type,Date,Strength,Taste,Price,Rating
Malboroman,Marlboro,Medium,Regular,2007-06-24,Medium,Very Poor,Fair,1
Joe Camel,Camel,Reds,Regular,2007-06-24,Strong,Pleasant,Fair,4
randiskop01,Marlboro,Menthol Lights,Regular,2007-06-24,Weak,Poor,Fair,2
Joe Camel,Camel,Wides Filters,Regular,2007-06-24,Strong,Pleasant,Fair,5
Stewie,Marlboro,Lights,Regular,2007-06-24,Medium,Pleasant,Fair,4
Stewie,Camel,Turkish Royal,Regular,2007-06-24,Very Strong,Pleasant,Fair,4
Malboroman,Marlboro,Reds,Regular,2007-06-24,Strong,Pleasant,Low,4
ClassySmoke,Marlboro,Ultra Lights,Regular,2007-06-25,Weak,Pleasant,Fair,3
ClassySmoke,Parliament,Full Flavor,Regular,2007-06-25,Medium,Tolerable,Fair,3
SmokingDude,American Spirit,Ultra Lights,Regular,2007-06-25,Very Weak,Tolerable,High,2
SmokingDude,KOOL,Menthol,Regular,2007-06-25,Medium,Very Poor,Fair,2
SmokingDude,Camel,Signature Blend Frost,Regular,2007-06-25,Very Weak,Very Poor,Fair,1
God S Patton,Marlboro,Lights,Regular,2007-06-28,Weak,Tolerable,Low,3
Odemination,American Spirit,Menthol Lights,Regular,2007-06-28,Very Weak,Very Poor,Very High,1
raytheon,Marlboro,Blend No. 27,Regular,2007-06-28,Weak,Pleasant,Fair,4
Tikal,Marlboro,Lights,Regular,2007-06-28,Medium,Pleasant,Fair,4
Tikal,Marlboro,Menthol Milds,Regular,2007-06-28,Medium,Pleasant,Low,4
ciggic,Dunhill,Full Flavor (Red),Regular,2007-06-28,Weak,Tolerable,Low,4
The Gowrie Fan Club,Winston,Lights,Regular,2007-06-28,Medium,Pleasant,Fair,4
raytheon,Lucky Strike,Filters,Regular,2007-06-28,Medium,Pleasant,High,5
Odemination,Camel,No. 9 Menthol,Regular,2007-06-28,Medium,Pleasant,Fair,4
Trophy Husband,Camel,No. 9,Regular,2007-06-28,Strong,Very Pleasant,Low,5
Tikal,Benson and Hedges,Full Flavor,100s,2007-06-28,Very Strong,Poor,Very High,1
Listos,Benson and Hedges,Full Flavor,100s,2007-06-30,Strong,Pleasant,Fair,4
Domonick,Sonoma,Full Flavor,Regular,2007-06-30,Strong,Poor,Low,2
Nibbles,Camel,Lights,Regular,2007-06-30,Medium,Pleasant,Fair,3
AddictiousMaximus,Camel,Lights,Regular,2007-06-30,Weak,Very Poor,Fair,1
AddictiousMaximus,American Spirit,Ultra Lights,Regular,2007-06-30,Weak,Very Pleasant,Low,5
Bigrigger,KOOL,Menthol,Regular,2007-06-30,Medium,Tolerable,Low,4
Freed Turkey,Marlboro,Smooth Menthol,Regular,2007-06-30,Medium,Tolerable,High,2
Cigarette Dromidary,Marlboro,Reds,Regular,2007-06-30,Strong,Pleasant,Low,5
Eminent,L&M,Full Flavor,Regular,2007-06-30,Medium,Pleasant,Low,4
Eminent,Camel,Filters Full Flavor,Regular,2007-06-30,Strong,Very Poor,Very High,1
Sotaka,Camel,Lights,Regular,2007-06-30,Strong,Pleasant,Low,3
Cigarette Dromidary,American Spirit,Full Flavor,Regular,2007-06-30,Very Weak,Poor,High,2
Eminent,Camel,Reds,Regular,2007-06-30,Very Strong,Tolerable,Low,2
Eminent,Marlboro,Reds,Regular,2007-06-30,Very Strong,Poor,High,2
Sotaka,Benson and Hedges,Full Flavor,100s,2007-06-30,Medium,Pleasant,High,5
Teen Smoker,Marlboro,Reds,Regular,2007-06-30,Very Strong,Tolerable,Low,4
Closet Lush,Winston,Lights,Regular,2007-06-30,Medium,Tolerable,Low,3
ImTheKing,American Spirit,Full Flavor,Regular,2007-07-01,Medium,Very Pleasant,Fair,5
longgshark,American Spirit,Menthol,Regular,2007-07-01,Strong,Tolerable,High,3
ImTheKing,Camel,Full Flavor,Unfiltered,2007-07-01,Medium,Poor,Fair,1
slowmotion,American Spirit,Perique,Regular,2007-07-01,Medium,Pleasant,High,2
ImTheKing,Newport,Full Flavor,Regular,2007-07-01,Medium,Very Pleasant,Fair,4
illogic,Newport,Full Flavor,Regular,2007-07-01,Medium,Poor,High,2
illogic,Camel,Menthol (Silver),Regular,2007-07-01,Medium,Pleasant,Low,4
Goose,Marlboro,Blend No. 27,Regular,2007-07-02,Medium,Pleasant,Fair,4
dyaz4ever,Marlboro,Reds,Regular,2007-07-02,Strong,Poor,Low,2
Karawasa,Camel,No. 9 Menthol,Regular,2007-07-03,Weak,Pleasant,Fair,3
Bootes,Marlboro,Ultra Lights,Regular,2007-07-03,Weak,Pleasant,Fair,4
CaliSunbug,Marlboro,Reds,Regular,2007-07-03,Very Strong,Very Poor,Fair,1
PaulieJ313,Camel,Turkish Silver,Regular,2007-07-03,Medium,Pleasant,Fair,4
Bootes,Djarum,Black,Regular,2007-07-03,Strong,Pleasant,Very High,4
Karawasa,Camel,Signature Blend Frost,Regular,2007-07-05,Medium,Pleasant,Fair,4
Jacki,Benson and Hedges,Full Flavor,100s,2007-07-05,Strong,Pleasant,Fair,4
Jacki,Virginia Slims,Full Flavor,100s,2007-07-06,Medium,Pleasant,Fair,3
Optical Star,American Spirit,Lights,Regular,2007-07-07,Weak,Very Pleasant,Very High,5
Blackasslungs,Camel,Filters Full Flavor,Regular,2007-07-08,Strong,Very Pleasant,High,5
950,Camel,Turkish Silver,Regular,2007-07-08,Medium,Very Pleasant,Fair,4
kalku2k,Marlboro,Medium,Regular,2007-07-08,Medium,Very Poor,Fair,1
Blackasslungs,Marlboro,Menthol Lights,Regular,2007-07-08,Medium,Pleasant,Fair,4
Ness,Camel,No. 9 Menthol,Regular,2007-07-10,Medium,Very Pleasant,Fair,5
mxmsky,Dunhill,Full Flavor (Red),Regular,2007-07-11,Strong,Tolerable,Very High,3
Flava,Marlboro,Reds,Regular,2007-07-11,Very Strong,Tolerable,High,2
mxmsky,Marlboro,Menthol,Regular,2007-07-11,Strong,Tolerable,Very High,3
frank725nyc,Marlboro,Blend No. 27,Regular,2007-07-12,Medium,Very Pleasant,High,5
thomw,Parliament,Lights (White),Regular,2007-07-12,Weak,Poor,High,2
thomw,Winston,Full Flavor,Regular,2007-07-12,Medium,Tolerable,Fair,3
thomw,Camel,Lights,Regular,2007-07-12,Medium,Tolerable,Fair,3
thomw,Camel,Turkish Royal,Regular,2007-07-12,Medium,Very Pleasant,Fair,5
thomw,Marlboro,Lights,Regular,2007-07-12,Medium,Tolerable,High,2
thomw,Camel,Turkish Gold,Regular,2007-07-12,Weak,Tolerable,Fair,2
thomw,American Spirit,Full Flavor,Regular,2007-07-12,Very Strong,Very Pleasant,High,5
thomw,Camel,Menthol (Silver),Regular,2007-07-12,Strong,Pleasant,Fair,4
thomw,Camel,Filters Full Flavor,Regular,2007-07-12,Strong,Very Pleasant,Fair,5
thomw,Marlboro,Reds,Regular,2007-07-12,Strong,Pleasant,High,4
thomw,Marlboro,Menthol Lights,Regular,2007-07-12,Weak,Poor,High,2
thomw,Camel,Full Flavor,Unfiltered,2007-07-12,Very Strong,Very Pleasant,Fair,5
I'llNeverquit324,Djarum,Black,Regular,2007-07-15,Strong,Very Pleasant,High,5
I'llNeverquit324,Marlboro,Reds,Regular,2007-07-15,Very Strong,Tolerable,Fair,3
thomw,American Spirit,Organic,Regular,2007-07-21,Strong,Pleasant,Very High,4
JordanW,Camel,Wides Filters,Regular,2007-07-22,Medium,Pleasant,Fair,5
JordanW,Marlboro,Reds,Regular,2007-07-22,Very Strong,Pleasant,Fair,5
bdrummer,Camel,Signature Blend Frost,Regular,2007-07-25,Very Weak,Very Poor,Fair,1
thomw,Marlboro,Blend No. 27,Regular,2007-07-26,Medium,Pleasant,High,4
Vedi,Newport,Full Flavor,Regular,2007-07-26,Medium,Very Pleasant,Low,5
bilsim,Marlboro,Lights,Regular,2007-07-26,Weak,Pleasant,High,4
Vedi,American Spirit,Lights,Regular,2007-07-26,Medium,Very Pleasant,Very High,5
bilsim,Lucky Strike,Filters,Regular,2007-07-26,Weak,Very Pleasant,High,4
JordanW,Camel,Reds,Regular,2007-07-28,Very Strong,Very Pleasant,Very High,5
Bootes,Marlboro,Blend No. 27,Regular,2007-07-30,Medium,Pleasant,Fair,3
colt45,Marlboro,Menthol,Regular,2007-07-31,Medium,Very Pleasant,High,5
homer676,Camel,Reds,Regular,2007-08-01,Very Strong,Very Pleasant,Fair,5
homer676,Lucky Strike,Classic,Unfiltered,2007-08-02,Strong,Pleasant,Fair,5
homer676,Camel,Full Flavor,Unfiltered,2007-08-02,Very Strong,Very Pleasant,Fair,5
homer676,Camel,Filters Full Flavor,Regular,2007-08-02,Strong,Very Pleasant,Fair,5
Display_Name,Marlboro,Reds,Regular,2007-08-03,Strong,Pleasant,Fair,3
Display_Name,Lucky Strike,Classic,Unfiltered,2007-08-03,Very Strong,Very Pleasant,Fair,5
randiskop01,Djarum,Black,Regular,2007-08-03,Strong,Very Pleasant,High,5
Display_Name,Pall Mall,Full Flavor,Regular,2007-08-03,Strong,Tolerable,Very Low,3
Display_Name,Camel,Full Flavor,Unfiltered,2007-08-03,Very Strong,Pleasant,Low,5
n7j,Parliament,Lights (White),Regular,2007-08-03,Medium,Tolerable,Fair,3
Sherlock,Dunhill,Full Flavor (Red),Regular,2007-08-04,Strong,Very Pleasant,Very High,5
Sherlock,American Spirit,Full Flavor,Unfiltered,2007-08-04,Strong,Pleasant,High,4
Sherlock,Benson and Hedges,Full Flavor,100s,2007-08-04,Very Strong,Pleasant,High,4
Sherlock,Camel,Lights,Regular,2007-08-04,Weak,Tolerable,Low,3
Sherlock,Parliament,Lights (White),Regular,2007-08-05,Medium,Tolerable,Fair,2
Petr_4,Dunhill,Full Flavor (Red),Regular,2007-08-05,Medium,Pleasant,High,4
JMC78,Newport,Full Flavor,Regular,2007-08-06,Weak,Very Poor,Very Low,1
JMC78,Marlboro,Smooth Menthol,Regular,2007-08-06,Strong,Poor,Fair,2
JMC78,Marlboro,Lights,Regular,2007-08-06,Medium,Pleasant,Low,4
JMC78,Lucky Strike,Filters,Regular,2007-08-06,Strong,Pleasant,Very High,4
JMC78,Pall Mall,Lights (Blue),Regular,2007-08-06,Weak,Tolerable,Fair,3
JMC78,Parliament,Lights (White),Regular,2007-08-06,Weak,Tolerable,High,3
n7j,Djarum,Black,Regular,2007-08-06,Very Strong,Tolerable,Very High,2
JMC78,Marlboro,Menthol,Regular,2007-08-06,Medium,Very Pleasant,Low,4
JMC78,Marlboro,Reds,Regular,2007-08-06,Strong,Tolerable,Low,4
950,Camel,Signature Blend Frost,Regular,2007-08-08,Medium,Pleasant,Fair,4
950,Camel,Turkish Silver,Regular,2007-08-08,Medium,Very Pleasant,Fair,5
950,Marlboro,Reds,Regular,2007-08-08,Very Strong,Tolerable,Fair,3
featherofmaat,Djarum,Black,Regular,2007-08-10,Strong,Very Pleasant,High,5
g28401,Marlboro,Blend No. 27,Regular,2007-08-11,Medium,Pleasant,High,4
g28401,Marlboro,Reds,Regular,2007-08-11,Medium,Tolerable,Fair,3
Tony T Bone,Winston,Full Flavor,Regular,2007-08-11,Medium,Tolerable,High,3
g28401,Camel,Filters Full Flavor,Regular,2007-08-11,Strong,Pleasant,Fair,4
niggsmoker666,Camel,Turkish Royal,Regular,2007-08-11,Strong,Pleasant,High,4
JMC78,KOOL,Milds,Regular,2007-08-11,Strong,Very Pleasant,High,4
niggsmoker666,Camel,No. 9,Regular,2007-08-11,Very Weak,Tolerable,High,3
g28401,Winston,Lights,Regular,2007-08-11,Medium,Poor,Fair,2
Tony T Bone,Marlboro,Reds,Regular,2007-08-11,Strong,Pleasant,High,3
g28401,American Spirit,Full Flavor,Regular,2007-08-11,Medium,Tolerable,High,3
g28401,American Spirit,Lights,Regular,2007-08-11,Weak,Tolerable,High,2
g28401,Camel,Turkish Silver,Regular,2007-08-11,Weak,Very Pleasant,High,5
Tony T Bone,Maverick,Full Flavor,Regular,2007-08-11,Medium,Very Poor,Fair,2
g28401,American Spirit,Perique,Regular,2007-08-11,Strong,Poor,High,3
Yanksox,Lucky Strike,Classic,Unfiltered,2007-08-12,Strong,Pleasant,High,5
Yanksox,Djarum,Black,Regular,2007-08-12,Strong,Poor,Very High,3
Yanksox,Marlboro,Reds,Regular,2007-08-12,Medium,Poor,Low,2
Yanksox,American Spirit,Full Flavor,Regular,2007-08-12,Strong,Tolerable,High,3
Petr_4,Lucky Strike,Filters,Regular,2007-08-12,Medium,Very Pleasant,Fair,5
savery,Camel,Filters Full Flavor,Regular,2007-08-13,Strong,Pleasant,Fair,5
JMC78,KOOL,Menthol,Regular,2007-08-14,Strong,Pleasant,High,3
Strelok,Camel,Lights,Regular,2007-08-15,Medium,Pleasant,Fair,5
gobias,Camel,Lights,Regular,2007-08-15,Medium,Pleasant,Fair,4
gobias,Dunhill,Full Flavor (Red),Regular,2007-08-15,Medium,Tolerable,High,3
gobias,Lucky Strike,Classic,Unfiltered,2007-08-15,Strong,Very Pleasant,High,5
Rambus,Camel,Lights,Regular,2007-08-16,Very Weak,Very Poor,Very High,1
Rambus,Lucky Strike,Classic,Unfiltered,2007-08-16,Strong,Very Pleasant,Fair,5
JMC78,Lucky Strike,Classic,Unfiltered,2007-08-17,Very Strong,Very Pleasant,High,5
gobias,Parliament,Full Flavor,Regular,2007-08-18,Medium,Very Poor,Fair,2
gobias,American Spirit,Full Flavor,Regular,2007-08-18,Medium,Pleasant,High,4
gobias,Parliament,Lights (White),Regular,2007-08-18,Weak,Poor,Fair,3
17yearsold,Camel,Wides Filters,Regular,2007-08-19,Strong,Pleasant,High,4
17yearsold,Camel,Turkish Gold,Regular,2007-08-19,Medium,Very Pleasant,High,5
Rizelico,Djarum,Specials,Regular,2007-08-19,Medium,Tolerable,High,3
Alex Umrysh,Camel,Filters Full Flavor,Regular,2007-08-20,Strong,Very Pleasant,Fair,5
ml,Djarum,Specials,Regular,2007-08-21,Medium,Very Pleasant,Fair,5
Silmarwen,Djarum,Specials,Regular,2007-08-24,Medium,Very Pleasant,Fair,5
Yanksox,Camel,Reds,Regular,2007-08-26,Strong,Tolerable,High,4
bilsim,Marlboro,Reds,Regular,2007-08-27,Strong,Very Pleasant,High,5
Kaijapska,Camel,No. 9,Regular,2007-08-27,Medium,Pleasant,Fair,4
g28401,Djarum,Black,Regular,2007-08-28,Weak,Tolerable,High,2
Sherlock,Marlboro,Ultra Lights,Regular,2007-08-28,Very Weak,Very Poor,Low,1
g28401,Camel,Signature Blend Infused,Regular,2007-08-28,Weak,Tolerable,High,3
g28401,Camel,Wides Filters,Regular,2007-08-28,Medium,Pleasant,High,4
Calvicad,Newport,Full Flavor,Regular,2007-08-29,Strong,Very Poor,Fair,1
Calvicad,Djarum,Black,Regular,2007-08-29,Weak,Tolerable,Very High,3
Calvicad,Lucky Strike,Filters,Regular,2007-08-29,Strong,Very Pleasant,Very High,5
Calvicad,KOOL,Menthol,Regular,2007-08-29,Strong,Pleasant,High,4
Calvicad,Camel,Lights,Regular,2007-08-29,Medium,Pleasant,High,4
Calvicad,Marlboro,Menthol Lights,Regular,2007-08-29,Medium,Pleasant,High,4
Calvicad,Marlboro,Reds,Regular,2007-08-29,Strong,Tolerable,High,3
Calvicad,Parliament,Lights (White),Regular,2007-08-29,Medium,Pleasant,High,4
Calvicad,Lucky Strike,Classic,Unfiltered,2007-08-29,Very Strong,Very Pleasant,Very High,5
Calvicad,Marlboro,Smooth Menthol,Regular,2007-08-29,Weak,Very Poor,High,1
Calvicad,Marlboro,Menthol Milds,Regular,2007-08-29,Medium,Tolerable,High,3
Calvicad,Pall Mall,Lights (Blue),Regular,2007-08-29,Medium,Poor,Fair,2
Kaijapska,Camel,Filters Full Flavor,Regular,2007-08-29,Strong,Very Pleasant,Fair,5
Calvicad,Camel,Signature Blend Frost,Regular,2007-08-29,Very Weak,Tolerable,High,2
Calvicad,Camel,No. 9 Menthol,Regular,2007-08-29,Very Weak,Tolerable,High,2
reverb10,American Spirit,Perique,Regular,2007-08-30,Very Strong,Pleasant,Very High,4
reverb10,Lucky Strike,Filters,Regular,2007-08-30,Strong,Very Pleasant,Very High,5
reverb10,Winston,Lights,Regular,2007-08-30,Medium,Pleasant,Low,3
captaincool,Pall Mall,Straights,Unfiltered,2007-08-30,Very Strong,Very Pleasant,Fair,5
captaincool,Lucky Strike,Classic,Unfiltered,2007-08-30,Very Strong,Very Pleasant,Very High,5
reverb10,Pall Mall,Full Flavor,Regular,2007-08-30,Very Strong,Tolerable,Fair,3
reverb10,Parliament,Lights (White),Regular,2007-08-30,Weak,Pleasant,High,4
reverb10,Camel,Turkish Silver,Regular,2007-08-30,Medium,Tolerable,Fair,3
reverb10,Camel,Lights,Regular,2007-08-30,Medium,Pleasant,Fair,5
reverb10,Lucky Strike,Classic,Unfiltered,2007-08-30,Very Strong,Very Pleasant,Very High,5
reverb10,Camel,Filters Full Flavor,Regular,2007-08-30,Strong,Pleasant,Fair,4
reverb10,Pall Mall,Lights (Blue),Regular,2007-08-30,Weak,Tolerable,Fair,3
reverb10,Camel,Turkish Gold,Regular,2007-08-30,Medium,Tolerable,Fair,3
reverb10,Camel,No. 9,Regular,2007-08-30,Weak,Tolerable,High,3
ruffio,Lucky Strike,Classic,Unfiltered,2007-08-31,Very Strong,Very Pleasant,High,5
ruffio,KOOL,Menthol,Regular,2007-08-31,Medium,Tolerable,Low,2
ruffio,Marlboro,Reds,Regular,2007-08-31,Strong,Pleasant,Fair,4
thomw,Camel,Wides Filters,Regular,2007-08-31,Strong,Very Pleasant,Fair,4
PyroLogik,American Spirit,Perique,Regular,2007-09-01,Strong,Pleasant,High,4
caged in,Newport,Full Flavor,Regular,2007-09-01,Strong,Pleasant,Fair,5
ruffio,American Spirit,Full Flavor,Regular,2007-09-01,Medium,Very Pleasant,High,5
caged in,Camel,Signature Blend Infused,Regular,2007-09-01,Weak,Tolerable,Very Low,3
ZRBJR1216@aol.com,Maverick,Full Flavor,Regular,2007-09-02,Very Strong,Poor,Low,2
ZRBJR1216@aol.com,Marlboro,Lights,Regular,2007-09-02,Weak,Tolerable,Fair,3
ruffio,Marlboro,Menthol,Regular,2007-09-02,Medium,Pleasant,Fair,4
ruffio,Camel,Turkish Gold,Regular,2007-09-02,Medium,Pleasant,Fair,4
vilerage,Marlboro,Menthol,Regular,2007-09-02,Medium,Tolerable,High,3
ZRBJR1216@aol.com,American Spirit,Lights,Regular,2007-09-02,Very Strong,Tolerable,High,2
caged in,Marlboro,Reds,Regular,2007-09-02,Very Strong,Pleasant,Low,2
caged in,Basic,Full Flavor,Regular,2007-09-02,Medium,Tolerable,Low,3
ZRBJR1216@aol.com,Marlboro,Reds,Regular,2007-09-02,Strong,Pleasant,High,4
ruffio,Basic,Full Flavor,Regular,2007-09-02,Strong,Tolerable,Low,3
ruffio,American Spirit,Full Flavor,Regular,2007-09-02,Strong,Pleasant,Very High,4
ZRBJR1216@aol.com,Basic,Full Flavor,Regular,2007-09-02,Medium,Pleasant,Low,3
ruffio,Camel,Wides Filters,Regular,2007-09-02,Strong,Pleasant,Fair,4
vilerage,Newport,Full Flavor,Regular,2007-09-02,Weak,Very Poor,High,1
ruffio,Marlboro,Blend No. 27,Regular,2007-09-02,Medium,Pleasant,Fair,4
ruffio,Camel,Menthol (Silver),Regular,2007-09-02,Strong,Tolerable,Fair,3
ZRBJR1216@aol.com,KOOL,Milds,Regular,2007-09-02,Medium,Pleasant,Fair,4
ruffio,Pall Mall,Full Flavor,Regular,2007-09-02,Medium,Pleasant,Low,4
Tie,Lucky Strike,Filters,Regular,2007-09-03,Medium,Very Pleasant,Fair,5
JMC78,Pall Mall,Full Flavor,Regular,2007-09-04,Strong,Pleasant,Low,4
I'llNeverquit324,Newport,Full Flavor,Regular,2007-09-04,Very Strong,Tolerable,Fair,2
bkramer7,Camel,Turkish Silver,Regular,2007-09-05,Medium,Very Pleasant,Fair,5
I'llNeverquit324,Marlboro,Smooth Menthol,Regular,2007-09-06,Medium,Pleasant,Fair,4
Castilla,Lucky Strike,Classic,Unfiltered,2007-09-06,Strong,Very Pleasant,Very High,5
Castilla,Camel,Signature Blend Frost,Regular,2007-09-06,Weak,Poor,Fair,1
Castilla,Marlboro,Lights,Regular,2007-09-06,Medium,Poor,Fair,3
Daniel���,Camel,Wides Filters,Regular,2007-09-07,Strong,Pleasant,Fair,5
Daniel���,Camel,Turkish Gold,Regular,2007-09-07,Medium,Pleasant,Fair,5
Johnny,Marlboro,Lights,Regular,2007-09-08,Weak,Tolerable,Low,3
hankguy,Camel,Full Flavor,Unfiltered,2007-09-10,Strong,Very Pleasant,High,5
bdrummer,Camel,No. 9 Menthol,Regular,2007-09-11,Weak,Very Pleasant,Fair,5
SimonBread,Camel,Signature Blend Frost,Regular,2007-09-12,Weak,Pleasant,Fair,4
moonfairy7,Djarum,Black,Regular,2007-09-12,Medium,Very Pleasant,Fair,5
SimonBread,Camel,No. 9 Menthol,Regular,2007-09-12,Medium,Pleasant,Fair,4
SimonBread,KOOL,Milds,Regular,2007-09-12,Strong,Poor,Fair,1
xodkrm,Dunhill,Full Flavor (Red),Regular,2007-09-13,Strong,Very Pleasant,High,4
iam18stillalive,Benson and Hedges,Full Flavor,100s,2007-09-15,Strong,Pleasant,Fair,4
Daniel���,Camel,Filters Full Flavor,Regular,2007-09-15,Medium,Very Pleasant,Fair,5
iam18stillalive,KOOL,Menthol,Regular,2007-09-15,Medium,Tolerable,Low,4
Eminent,Djarum,Black,Regular,2007-09-15,Medium,Very Pleasant,High,5
iam18stillalive,Camel,No. 9 Menthol,Regular,2007-09-15,Medium,Very Pleasant,Fair,5
iam18stillalive,Marlboro,Blend No. 27,Regular,2007-09-15,Medium,Pleasant,Fair,4
Daniel���,Marlboro,Reds,Regular,2007-09-15,Strong,Tolerable,Fair,4
iam18stillalive,Newport,Full Flavor,Regular,2007-09-15,Strong,Poor,Fair,2
gobias,American Spirit,Lights,Regular,2007-09-15,Weak,Tolerable,Fair,3
Nash,American Spirit,Organic,Regular,2007-09-15,Medium,Very Pleasant,Fair,5
iam18stillalive,Pall Mall,Full Flavor,Regular,2007-09-15,Strong,Poor,Low,2
iam18stillalive,Marlboro,Reds,Regular,2007-09-15,Very Strong,Tolerable,Fair,2
Jon2thejon,American Spirit,Ultra Lights,Regular,2007-09-15,Very Weak,Tolerable,Fair,1
PackingMarlboros,Marlboro,Reds,Regular,2007-09-16,Strong,Very Pleasant,High,5
Daniel���,Camel,Turkish Royal,Regular,2007-09-16,Strong,Very Pleasant,High,5
juggalo420_015,KOOL,Milds,Regular,2007-09-17,Medium,Pleasant,Low,4
juggalo420_015,Newport,Full Flavor,Regular,2007-09-17,Strong,Very Pleasant,Very High,5
juggalo420_015,Marlboro,Menthol,Regular,2007-09-17,Strong,Very Pleasant,High,4
Nash,American Spirit,Full Flavor,Regular,2007-09-18,Strong,Tolerable,High,2
Daniel���,Camel,Turkish Silver,Regular,2007-09-18,Weak,Pleasant,High,1
Nash,American Spirit,Organic,Regular,2007-09-18,Strong,Very Poor,High,1
Eminent,Djarum,Black,Regular,2007-09-18,Weak,Very Pleasant,High,4
Daniel���,Camel,No. 9,Regular,2007-09-18,Very Weak,Tolerable,High,2
Daniel���,Camel,Filters Full Flavor,Regular,2007-09-18,Strong,Pleasant,Fair,5
EmphyzemaWOOHOO,Camel,Turkish Royal,Regular,2007-09-19,Strong,Very Pleasant,Fair,5
EmphyzemaWOOHOO,Marlboro,Lights,Regular,2007-09-19,Weak,Very Poor,Fair,2
EmphyzemaWOOHOO,Camel,Signature Blend Infused,Regular,2007-09-19,Weak,Very Pleasant,High,4
EmphyzemaWOOHOO,Camel,Wides Filters,Regular,2007-09-19,Strong,Tolerable,Fair,3
EmphyzemaWOOHOO,Marlboro,Blend No. 27,Regular,2007-09-19,Strong,Tolerable,Fair,4
EmphyzemaWOOHOO,Camel,Filters Full Flavor,Regular,2007-09-19,Strong,Very Pleasant,Fair,5
EmphyzemaWOOHOO,Pall Mall,Full Flavor,Regular,2007-09-19,Strong,Tolerable,Low,3
EmphyzemaWOOHOO,Marlboro,Medium,Regular,2007-09-19,Medium,Tolerable,Fair,3
EmphyzemaWOOHOO,Camel,No. 9,Regular,2007-09-19,Very Weak,Pleasant,High,2
EmphyzemaWOOHOO,Camel,Turkish Silver,Regular,2007-09-19,Very Weak,Poor,High,1
EmphyzemaWOOHOO,Marlboro,Ultra Lights,Regular,2007-09-19,Very Weak,Very Poor,Fair,1
EmphyzemaWOOHOO,Djarum,Black,Regular,2007-09-19,Very Strong,Pleasant,Very High,3
EmphyzemaWOOHOO,Camel,Reds,Regular,2007-09-19,Very Strong,Pleasant,Very High,4
EmphyzemaWOOHOO,Camel,Full Flavor,Unfiltered,2007-09-19,Very Strong,Pleasant,Very High,4
EmphyzemaWOOHOO,Marlboro,Reds,Regular,2007-09-19,Very Strong,Tolerable,Fair,3
Daniel���,Camel,Menthol (Silver),Regular,2007-09-22,Strong,Pleasant,Fair,4
Echelon,Djarum,Black,Regular,2007-09-23,Medium,Very Pleasant,Fair,5
Echelon,Djarum,Specials,Regular,2007-09-23,Medium,Very Pleasant,High,5
Echelon,Camel,No. 9,Regular,2007-09-23,Strong,Tolerable,Fair,3
madwaldo,Camel,Filters Full Flavor,Regular,2007-09-24,Weak,Pleasant,Fair,3
Efflux,American Spirit,Full Flavor,Regular,2007-09-26,Strong,Very Pleasant,High,5
BASSONICA,Camel,Signature Blend Frost,Regular,2007-09-28,Weak,Very Pleasant,High,5
BASSONICA,Camel,Signature Blend Infused,Regular,2007-09-28,Medium,Poor,High,2
BASSONICA,Djarum,Black,Regular,2007-09-28,Strong,Pleasant,High,5
